,Ttile,Price
0,Bells Hells Weapons Button Down Short Sleeve Shirt,$34.99
1,For the Queen,$24.99
2,"[PRE-ORDER] Vox Machina Origins - Grog Strongjaw, Pike Trickfoot, and Scanlan Shorthalt Bust",$169.99
3,[PRE-ORDER] Vox Machina Origins - Keyleth and Percival Fredrickstein von Musel Klossowski de Rolo III Bust,$149.99
4,Vox Machina Origins - Vex'ahlia and Vax'ildan Bust,$149.99
5,Bells Hells Collection: Dorian Storm Camp Shirt,$34.99
6,Bells Hells Dice Set: Dorian Storm,$19.99
7,Mighty Nein Hoodie,$64.99
8,Bells Hells Lightweight Hoodie,$39.99
9,Candela Obscura Premium Dice Set,$69.99
10,Candela Obscura Collapsible Dice Tray,$24.99
11,Candela Obscura Beyond the Grave Hoodie,$64.99
12,Critical Role Dad Hat,$24.99
13,Fearne Calloway Art Nouveau T-Shirt,$28.99
14,Bells Hells Collection: Fearne Calloway Duster Kimono,$55.99
15,You Can Certainly Try Pullover Hoodie,$59.99
16,Luxon Beacon Oversized d20,$64.99
17,Chetney Pock O'Pea Woodworks T-Shirt,$28.99
18,Bells Hells Collection: Orym of the Air Ashari Bomber Jacket,$89.99
19,Candela Obscura Blueprint T-Shirt,$28.99
20,Bells Hells Collection: Chetney Pock O'Pea Pullover Knit Hoodie,$64.99
21,Bailey's Green Dice Bag of Hoarding,$35.99
22,Candela Obscura Core Rulebook (PDF),$19.99
23,"Bells Hells Dice Set: Orym, Of The Air Ashari",$19.99
24,Bells Hells Dice Set: Imogen Temult,$19.99
25,Bells Hells Collection: Ashton Greymoore Embroidered Patches,$13.99
26,Bells Hells Collection: Ashton Greymoore Jacket,$64.99
27,Bells Hells Retro Crew Socks 2-Pack,$9.99
28,Critical Role Ultra Soft Forest Green Pajama Lounge Set,$59.99
29,Jrusar Joggers,$35.99
30,Mighty Nein Echoes of the Solstice T-Shirt,$28.99
31,Ruidus Dice Set,$84.99
32,Bells Hells Collection: Fresh Cut Grass Cardigan,$64.99
33,Candela Obscura Core Rulebook,$39.99
34,Laudna Character Hoodie,$59.99
35,Welcome to Ligament Manor T-Shirt,$28.99
36,Caper Cards: Bells Hells,$14.99
37,Critical Role: The Mighty Nein Origins Library Edition Volume 1,$49.99
38,Imogen Temult T-Shirt,$28.99
39,Critical Role: Bells Hells - Ashton Greymoore Phunny Plush by Kidrobot,$16.99
40,Critical Role: Bells Hells - Fearne Calloway Phunny Plush by Kidrobot,$16.99
41,Critical Role: Bells Hells - Fresh Cut Grass Phunny Plush by Kidrobot,$16.99
42,The Chronicles of Exandria Vol II: The Legend of Vox Machina,$59.99
43,Critical Role Retro Jogger,$35.99
44,Critical Role Retro Hoodie,$59.99
45,Is It Thursday Yet T-Shirt,$28.99
46,Tankard Wrap: The Adventure Begins,$9.99
47,Tankard Wrap: What the F is Up with That?,$9.99
